Sample,Timepoint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
T0R0,0.0,1.0919712322024526,0.8923547595842731,0.926898372432624,0.8541739800365679,0.8867405077332825,0.8261512435688412,0.6573822239392959,0.6551073154530921,0.5875860297898728,0.38626472885935936,0.3646933572638042,0.21850599936916654,0.29301089182824125,0.23642432211948658,0.13291042761460956,0.05766591121998945,0.03181954258987514,0.06424550533687147,0.0016273418559311567,0.04829492629539231,0.06229854343438878,0.012210499642560265,0.03290690235168821,0.018785329143520636,0.05645196588240664,0.03459010958058641,0.062097171163289853,0.08841585125737918,0.027916792999186067,0.05283560171122681,0.01085549845113683,0.004045447040726967,0.053003708548739786,0.0359234593820837,0.0028616212833387036,0.007813670288259824,0.05182330691425014,0.03152923825548064,0.009986021600422439,0.07671873172345081,0.0006304980887249477,0.014822160851821198,0.020871822309050936,0.017412837900048512,0.08525413883423448,0.00888673091035815,0.05820277229086095,0.03917951895532329,0.038305694839692546,0.007282707862874084
T0R1,0.0,1.0146654974117424,1.0136204618741655,0.9117349431792671,0.8634352233501079,0.8009856461566062,0.7670511012643478,0.6850294117401655,0.5844027776132145,0.5378063322979261,0.38336856533016395,0.4187241960429027,0.30904360029941685,0.2603143732128716,0.26622181616822893,0.21765510940558608,0.12877853857826663,0.0876535345718525,0.0057465152328648045,0.04190779673093484,0.05421916242041343,0.028510815332950856,0.028661606272403512,0.04727678546337832,0.037784836422684424,0.021733496780370492,0.012281269779612029,0.039774032256456336,0.0019346293092940348,0.04148562213525466,0.015800489921019116,0.03513981699928725,0.006741624565263504,0.046576611222899585,0.044690013554812044,0.10638831397940933,0.09529575238337132,0.013324680561955824,0.012698130630862798,0.0058138050778022,0.024113809062963513,0.017505883551220753,0.08440906217811192,0.00494531314538113,0.007825194621836245,0.0306809203048858,0.022009160968319903,0.005372821453510569,0.04630145043384912,0.03306865082731149,0.005453660467799302
T0R2,0.0,1.0527234569773418,0.9364611471874089,0.9516474640178868,0.8605628165520881,0.840252577007901,0.7001751852132791,0.6915257679455796,0.6012276996296204,0.5112311617722443,0.4797354925482742,0.36620464935986213,0.31131908442050304,0.24187507683643553,0.16006345309717768,0.19684291839653753,0.10364608616628931,0.09248304634647508,0.07480326570166107,0.03031294242194097,0.04407520257108734,0.03553826296826469,0.015480058400788237,0.057361483731124034,0.06495200462158848,0.030210004421086598,0.026917222654502786,0.06664885313680055,0.04240258833633468,0.047890791628291844,0.06984982748095657,0.04347001618145306,0.025880657844335533,0.06817897422897655,0.04138475102473662,0.04795740665780821,0.019660698850637277,0.02078036621850003,0.01154148101893264,0.06062024477750527,0.044258997951835105,0.07645245565594085,0.018897824020564433,0.04305713655764913,0.04603565986927089,0.09100605656341944,0.04049943395162923,0.051337847245059,0.15805192526278636,0.010828743753826567,0.0816449999073671
T1R0,0.25,0.8408885902985583,0.7631617120559383,0.7254623455555121,0.711928947477668,0.6195940781636388,0.6214261655737233,0.6240105320388015,0.5080732801862472,0.44212813297845277,0.4276016092068657,0.26830477683003046,0.24681100474459397,0.19394155436685487,0.06865591523711156,0.13870281443451565,0.10249809901430516,0.1070378979396724,0.04223746164180362,0.0917645940540202,0.03802008089372447,0.037066148697107226,0.043526846635548275,0.03610152072012878,0.05313925553045984,0.025317867069158152,0.03757575152992901,0.09155430444498369,0.04204817228554435,0.008072034562073437,0.05705584106395552,0.08663129843663345,0.040996244039488004,0.02959718723069607,0.024320717161413374,0.02488984486944793,0.015582801237554456,0.05630265527274874,0.034769684311645524,0.0572249120489486,0.10984880615252854,0.10268307110823119,0.11312443370282477,0.1759349817789843,0.12976347530403898,0.14158061476899045,0.1807143829820489,0.198128530285746,0.19293685980042155,0.23743998810040357,0.20160085325433744
T1R1,0.25,0.8366755449276267,0.7185421479615942,0.7885396835972039,0.7109171329224533,0.5902579472290865,0.6234171039285209,0.5614780422431918,0.46930509996372427,0.44668241985217666,0.3879857830164037,0.32257657787036365,0.23949882560992103,0.21288362377845554,0.1781732060970833,0.13749102959053205,0.0077153073643719434,0.1101888653744003,0.003229485626168878,0.10236172512323784,0.032489779361354124,0.050207090324863,0.060579419609456994,0.04770358588956378,0.0342229994750422,0.04822036994067322,0.07313574524718276,0.048454001111173504,0.04313467512277334,0.04759479490043019,0.06134194253808691,0.09343311257183132,0.025631766104845882,0.05555183663515826,0.015448543631193544,0.019950348960998607,0.03370467977959466,0.04835505023879724,0.025376005355905867,0.12703094880333268,0.09431667518330691,0.11260779460256248,0.09658504829479557,0.19533874942542268,0.11425554859696899,0.15739091769351227,0.19044229196674323,0.1720181421191627,0.24445906988092456,0.21127485964327644,0.20833361160914726
T1R2,0.25,0.7629930556805171,0.7637601672437769,0.8511415764054727,0.7601002970215798,0.682542816949531,0.6312492253507976,0.6299894503650628,0.5133116559793518,0.4299389292556311,0.3488941674166132,0.4155973584762115,0.22819645690102633,0.15400063239384199,0.16381190502140655,0.08648436987895007,0.05788414831399818,0.061428612839511204,0.09732840609884265,0.08311064682645967,0.06634611109962948,0.04690811544563257,0.02263407346093395,0.00754916989468732,0.03449730544878615,0.03980128440379902,0.030059510646312265,0.039588898802666445,0.03522798317113816,0.07181515106842298,0.01896792160684648,0.045518929246368696,0.07860915812031904,0.019650035266356176,0.05438092851108869,0.06219055099460187,0.029218815079788824,0.03364971132202216,0.05778453861500304,0.05491458046570975,0.0573368898225655,0.11155019851558726,0.12966549448890988,0.14311163404257826,0.1384393814016781,0.16600463440952942,0.17616538533534706,0.2676526187007773,0.18138837472156918,0.2110512958119678,0.22970864913965403
T2R0,0.5,0.657434690800426,0.6215525707052043,0.6320478882743152,0.589487544993988,0.50140267230525,0.47038036484057993,0.47785132916482576,0.37192469133343825,0.3350592399760004,0.29231095336482427,0.27139456282956,0.16483653772136828,0.10892921688578248,0.14458799495674324,0.06877454805497286,0.08294529474444493,0.04499832636034591,0.09307348993692818,0.05536919219405798,0.050170773337371265,0.04073072826456535,0.032509470666225664,0.03549041030168468,0.09528938043646312,0.032041105178101055,0.077873623191062,0.04982586777947934,0.0847247792086149,0.027885933589804044,0.047546113530051684,0.08295630711678346,0.024756202919914164,0.019223664049592776,0.050405915597360025,0.10048518490574176,0.062040982948538985,0.09384448700994585,0.0939237667138064,0.09072481234720023,0.15378472230632106,0.14703995735448544,0.15919030223472286,0.2768745782869769,0.2735068196169593,0.31275578983775654,0.3600227711170749,0.3792861394311848,0.3736782131335883,0.4409209804513431,0.43204500864413753
T2R1,0.5,0.6772147377917863,0.5972986043282276,0.5739714568884847,0.5234750270565056,0.5042386521530474,0.48576829206058336,0.44267860540285237,0.3802250444153486,0.34218906829532136,0.25038743949439807,0.2272239050412768,0.17603969064160715,0.1705835139175407,0.13778265704455986,0.09410747412994647,0.023587168229285305,0.05205648377733071,0.034778753738987804,0.06533292959762801,0.06752823046840645,0.02095564093623002,0.028537357892416536,0.025498827960921518,0.06304513930824576,0.05581975827001615,0.04310496194182744,0.02787210713913566,0.042032883880177785,0.021720464773405807,0.03624526989217212,0.03566353884515608,0.05165439388357203,0.049841841930438585,0.05196581631673027,0.08141955824081125,0.07608641299409985,0.060531345772386586,0.05947622353049826,0.13263877967629906,0.1839487771061401,0.18467676301958272,0.19330665199820588,0.22640109700193678,0.23908720476107412,0.2940738930920337,0.3250340357395522,0.3430948396001732,0.3398421660484414,0.42429136856645716,0.39673559561095906
T2R2,0.5,0.701883116169782,0.6342200605916669,0.5940343980115262,0.5371679003177396,0.5186361814589203,0.4739240042385529,0.48194287667189434,0.330807865200929,0.3480795556139208,0.26649808090421817,0.28278692800878286,0.16893768638364856,0.11813957888302973,0.09856265414616737,0.10133763978675012,0.0823796279819883,0.08262878492249463,0.020479295373761718,0.006425450255813586,0.035087301462033135,0.04289043487815327,0.03373211987797657,0.03259984279302523,0.015364382949681397,0.02881460327049044,0.0359945974619844,0.0732408330429618,0.04381422564846156,0.047211864811873394,0.05492246903241565,0.027628675808129034,0.04613043448473651,0.06441649091944252,0.043531076889729944,0.0725449522160817,0.06159270185634637,0.08369136189247864,0.07340556060018835,0.13891592545599876,0.12601947710292613,0.1597534923977186,0.16706209067366676,0.21595245816431788,0.29088081052108844,0.30403704356707406,0.3329787651339982,0.34036428452940737,0.3947285131441401,0.3887395373805777,0.40221066218551677
T3R0,0.75,0.40930032467105004,0.4451306751149958,0.4454371367007015,0.44221216932365603,0.40362669956937075,0.3113222538254212,0.31187433440354734,0.27198158736167477,0.2346730099584232,0.2139780228420557,0.2284019609472816,0.19575367939518426,0.07678845255136041,0.11883500969248262,0.08946602111145133,0.06658022237412187,0.0770916700951419,0.012039001285119484,0.0383307434069967,0.06718893574953808,0.025298026942312743,0.010015671357163252,0.008011334200394323,0.03249485562675654,0.02988965758989317,0.019597426204681193,0.01805344403127765,0.055559656877235415,0.04355340620250471,0.050525845237817536,0.009570299869955808,0.014609793447555145,0.026207869279649448,0.05809646821407573,0.020598444250815046,0.10135381612193103,0.1709657098172821,0.09553503939469908,0.1792938689796324,0.13985424219102183,0.29380940897877794,0.2733177368572828,0.36940953729191045,0.40863005954419285,0.4206693229234776,0.46644889316417065,0.5050938752440834,0.6210988358171047,0.6142352275297311,0.5830763907990383
