,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
"(0.0, 0)",1.0328340245471113,1.0882263160631496,0.9819669954744787,0.8662039406265223,0.9195800581588208,0.8840713383345201,0.7747538797458747,0.6288139699043407,0.5217244754709859,0.48550297704871453,0.42249395774196086,0.3575154670508577,0.26559957582141586,0.20333574680079153,0.22027048704252622,0.10268347354963969,0.07039899062797858,0.0259111433818219,0.14509077306210175,0.10573177363538032,0.10669045227781425,0.2894005315147973,0.44754764370558875,0.497556188210504,0.5093230273757149,0.5198652497275736,0.4484565154187015,0.32312822817040765,0.3554800780208851,0.3088800894907257,0.1626044065114893,0.20420932046761847,0.09872191939686864,0.14479999791487963,0.02329442760745229,0.09021071747031457,0.0978991739262221,0.08477826982630562,0.08519459898919401,0.03697557654853885,0.05725716728419158,0.18608191790130812,0.06461485608599016,0.09920084980288785,0.058563287566184785,0.08457136001931317,0.014353381613030687,0.06965434880064665,0.14420822021556162,0.07326874207188434
"(0.0, 1)",0.9514719628925976,1.0582263110913703,1.0421590553789823,0.915634195414537,0.862877309138888,0.8015810214571044,0.7716262778512907,0.6955569587608043,0.5495279453592438,0.5410571650113591,0.43875223767341126,0.40720089665774845,0.30987564705625575,0.22745274794152343,0.16420758799288232,0.10883600353872552,0.07796811742437208,0.1687228446091047,0.18568399130632804,0.15657512003171065,0.1927593741382567,0.3038689756155206,0.4207815515641049,0.4628891562781151,0.5490207775047145,0.4811075770245197,0.454331680208487,0.422680295534524,0.3629072609916669,0.2878906322123654,0.15920597262369315,0.2592392132525096,0.15552344761655318,0.06675061377871455,0.07735540741159164,0.19187771534928807,0.04135434054534475,0.08706934769856557,0.09989220687807403,0.08784660064867308,0.10919945322354613,0.10039336793232022,0.12839788289907753,0.13263310454485788,0.0325578954400015,0.0760888897861268,0.0711898323229522,0.0886248866083159,0.05888476870557182,0.027449016417825833
"(0.0, 2)",1.0072487597497068,0.9652194762619588,1.075526581624669,0.8811201493659637,0.9157888323561434,0.875375267815407,0.7398027352521875,0.7018574513756739,0.5373341701814148,0.3679725278903113,0.4628037660948831,0.34594937915308055,0.39228117945957236,0.2798927500741315,0.2534700672211695,0.15083153816237463,0.1408726414701086,0.10318704031982245,0.0800478952997222,0.10489316058185347,0.30533274058439763,0.29740395140698866,0.37789383953378625,0.4275798668409571,0.6024420125256682,0.5082681878591129,0.49841097979626525,0.41327009038387974,0.4632222347167527,0.3196711027776735,0.3278585686024215,0.18443273227662516,0.09410618196339393,0.1411061831410304,0.05929010092562388,0.06885991897970012,0.02631758593219682,0.06817148483022609,0.07756454652015249,0.08338473461345702,0.06960470255392553,0.05088225658095681,0.09521919432500561,0.06838537499170742,0.1411857312912047,0.0031707290797415447,0.09340016929862334,0.058115552407158,0.10063035435423778,0.14050007069216633
"(0.25, 0)",0.7847145572645376,0.7357476568861024,0.8121537121488608,0.8503292323786531,0.7200461196169307,0.6585700187449308,0.6921736723971698,0.456094739355451,0.41172063310073953,0.4027019413386998,0.32699810489820724,0.2419957950065375,0.16900432928481335,0.2659386964673467,0.16976712392554522,0.08571347438207358,0.1599534878415745,0.08806366083969966,0.055037475137119034,0.05332356719495341,0.12125124801585802,0.24594337537794472,0.36049873517796327,0.39051655069257885,0.4681396248754026,0.4266206997959042,0.42885290339766724,0.4774461008020284,0.30665665842703105,0.29048251061013597,0.2174510410408399,0.06530976690185941,0.034587326780152416,0.03361283150420552,0.09034557628497167,0.06553588435055507,0.12925502372895686,0.0650453871237189,0.06670276007750042,0.10488180730920564,0.14300213518001897,0.18886057637060708,0.18567341339279797,0.18675276119231454,0.18003432887857915,0.20581540005693277,0.32474015856009164,0.2266185408412972,0.25210362367685446,0.2777459759185116
"(0.25, 1)",0.7743584211135555,0.9086141870356472,0.887663602936024,0.7242576270746262,0.609070968577107,0.7289323423483665,0.6130018731727005,0.48721976405702333,0.5031113977944719,0.443955394703325,0.33952595539932146,0.3449827798742735,0.35577257771613446,0.2604139587580738,0.2269748705337847,0.08794282872928086,0.05942707030775868,0.10971968963481285,0.15801587068253337,0.2726913765304886,0.06939293936599064,0.2004187025597684,0.3546958475353465,0.3661595386589398,0.4213506239521044,0.49396947939023006,0.44830199059269094,0.48595796245024186,0.2612887702080384,0.3187805390322215,0.19231410496955287,0.16972701908588597,0.037565075314793264,0.09125478185742045,0.13680842998764545,0.03507971963389669,0.08645104112054813,0.147732149786808,0.1293290658575636,0.20993181561563773,0.11956838774638198,0.18740289380462988,0.16288900834286604,0.21796863784256798,0.18803220783705085,0.20672486966658327,0.24458886070289665,0.26881558929448696,0.24334503102955743,0.23805658632492369
"(0.25, 2)",0.8726347755311832,0.8648573109360891,0.8488831822578092,0.7730694930905236,0.7666975043354937,0.632186365777613,0.5877971078812103,0.561038295509326,0.4638485946840057,0.3806354547981017,0.3809172877576015,0.25784104890556653,0.2568455991836528,0.17396437811624926,0.1578139749820128,0.21058809781600107,0.03149086481967901,0.05457950184054118,0.07813149487783227,0.10069957880078989,0.24327340548027526,0.23593755614089448,0.25515134724034416,0.3801281994191657,0.3614876378793367,0.41521961050466766,0.5397791799149969,0.3814402349215311,0.3515589914299958,0.23590672757951675,0.2046205021412894,0.2281389359861946,0.07759313604332135,0.028453744302257084,0.07613981740741005,0.11323601025654542,0.08624520567707449,0.11361067543596744,0.09520761426277877,0.12183837426354563,0.16097908612976794,0.1852259383454692,0.12471934243107274,0.22401782188254787,0.17258308297845346,0.16912462830768998,0.2647847299843488,0.26899370120498667,0.2675070354029667,0.2364134190389941
"(0.5, 0)",0.6161367043487547,0.590866274842225,0.6357236641273454,0.5956939085519056,0.5780777694976281,0.5438645793552418,0.47129392486727306,0.34510774097628893,0.3676912509320014,0.2765233410473713,0.20191245570182104,0.18415960909322404,0.2055086795301659,0.19672448867463543,0.11207223958121061,0.13579624152956754,0.07867186125409446,0.039913900802603555,0.11065994269684057,0.07601009967640135,0.09730265538191558,0.10982746482173747,0.14157789421593978,0.17819494865969623,0.1777620066175785,0.18560097439732637,0.16823982843623803,0.1978270939132259,0.10715463952301402,0.09916492880493274,0.05533838933075724,0.11302804932012316,0.06903945540401413,0.07297915276284389,0.09950125743202373,0.1351070749553938,0.07980944186430212,0.11189671806723568,0.061773570074828935,0.10369176475156541,0.17217244181684463,0.20223372431293693,0.26187503279287105,0.2401537169459428,0.260293759592861,0.40951531012175124,0.36920905930071884,0.3943176402993614,0.40608978835770704,0.40561578042953195
"(0.5, 1)",0.6186617574254941,0.6169382493505808,0.566366971459731,0.568989551986395,0.5245198958879038,0.48280252502859555,0.37226387644540987,0.4301703289010601,0.35108981534809464,0.2656171267885279,0.26588434628384705,0.23821877057597338,0.09795596911020935,0.09762231591060325,0.10482949840541822,0.10371952819775239,0.09049455821893763,0.1062169836527292,0.020098994769498085,0.07590731506405018,0.16910263752984078,0.11840657629430518,0.1416610570541109,0.19946571184657147,0.1928265840898226,0.17461123074265383,0.17512043925855833,0.16702684023872916,0.15621502747092536,0.1577783869331012,0.1422765860305131,0.04015113254753852,0.03357117526798605,0.04260434760460024,0.05992136080074044,0.036540261123714675,0.17108492391489427,0.09545955172721046,0.13322742568851292,0.14143944044473425,0.1637327172215903,0.2621363179903227,0.21889778402751267,0.30016177840229036,0.286899031613209,0.37329878086055396,0.33634951524679185,0.3750115620747463,0.42368267078517763,0.4336723013531095
"(0.5, 2)",0.6291443619501961,0.6335189392058482,0.5232146821038266,0.6219504212955383,0.5622743567889841,0.5015806452375584,0.4543356119519068,0.3438244533271021,0.31103331473231177,0.30185793092236096,0.2234646323912759,0.16887263216412615,0.17101612140427208,0.13040663194958646,0.11281922151592298,0.045556323096132376,0.0921476031407929,0.05542220769860577,0.07483984591973109,0.12508318479639868,0.07824292110648583,0.1220259911068191,0.127716917648712,0.2069753736860102,0.2069022641405089,0.22117694750823838,0.17880614540387843,0.1401045127660136,0.17455382109697956,0.10772098301575632,0.11721344557537357,0.042139774261387035,0.09859609385831591,0.03500100645753018,0.041997180792410126,0.07202533063297764,0.08918300079046505,0.09728117958922824,0.16722306527455047,0.14433742330184232,0.18489243683748094,0.2429759405274578,0.2306429054732339,0.2766736407489453,0.2622193885402321,0.350069107782706,0.3719326554567989,0.40379294119089765,0.41446124824704633,0.4047605119437617
"(0.75, 0)",0.49587368442206436,0.3836388604419066,0.4393796661213962,0.40716745096380447,0.3435867830418204,0.3468025274899649,0.32870527181792925,0.2771577264112175,0.26346989292193607,0.15073773644653282,0.14619326165387284,0.18348356831823215,0.1240936461068308,0.10010801287710325,0.08164590018427051,0.0940557159664715,0.04292578018727872,0.0742188597057612,0.07996617321116702,0.09022483365483511,0.08825118768565826,0.07333200078700802,0.17844975863828402,0.23179821110326732,0.16717415139081146,0.192042315400734,0.18065586645365614,0.2028984600172167,0.11240251805701196,0.1291635377069474,0.10232307843578213,0.04449144013745799,0.0960291333399135,0.06931782287592084,0.08642623353222068,0.10857225206131277,0.1064991067588557,0.17923930910331146,0.17878186025337167,0.23828178583975893,0.2111199363670802,0.3162959205303118,0.33078671508594915,0.40816358501754424,0.4819060122447978,0.5016670404597966,0.5202980115037634,0.5703214777046708,0.608989879599814,0.6427380030761732
